"Simple 5 Epoch Baseline",2150,0.987582,0.983800,0.986400
"Simple 10 Epoch Baseline",4300,0.994473,0.987200,0.989600
"Naive Holdout Baseline",4080,0.994364,0.988200,0.988600
"Recall   0.00% Test",2155,1.000000,0.110000,0.102800
"Recall   0.01% Test",2155,1.000000,0.742800,0.742200
"Recall   2.50% Test",2160,0.999650,0.861400,0.868000
"Recall   5.00% Test",2165,0.999650,0.934000,0.938100
"Recall  10.00% Test",2180,0.999125,0.940000,0.945200
"Recall  20.00% Test",2210,0.998775,0.968000,0.971300
"Recall  30.00% Test",2250,0.998250,0.975600,0.974800
"Recall  40.00% Test",2305,0.997375,0.980800,0.981300
"Recall  50.00% Test",2380,0.997725,0.979600,0.980400
"Recall  60.00% Test",2480,0.998600,0.981600,0.982900
"Recall  70.00% Test",2665,0.996150,0.984600,0.986500
"Recall  80.00% Test",3030,0.996850,0.987200,0.985100
"Recall  90.00% Test",4130,0.993701,0.985200,0.986300
"Recall  95.00% Test",6015,0.989501,0.988800,0.989300
"Recall  97.50% Test",9075,0.984252,0.989200,0.986400
"Recall  99.99% Test",30505,0.985827,0.992800,0.989700
